BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,AdditionalContactInfo,Demographics,rowguid,ModifiedDate
30,EM,0,,Britta,L,Simon,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5090C9A8-E39E-4A4D-9133-14E7CF07998B,00:00.0
31,EM,0,,Margie,W,Shoop,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5EA8A3DA-7BEA-4ADC-85F5-C934E2033825,00:00.0
32,EM,0,,Rebecca,A,Laszlo,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",686BD5AF-6F30-4633-944B-3C1916CB4CA2,00:00.0
33,EM,0,,Annik,O,Stahl,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",BFA2BDC8-208A-447B-8A4E-72A215E9E134,00:00.0
34,EM,0,,Suchitra,O,Mohan,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7E239D8B-00BF-42D6-AC6B-4EA718DBC2B3,00:00.0
35,EM,0,,Brandon,G,Heidepriem,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",4CC8EDC2-5502-4550-8089-9B3CC6006490,00:00.0
36,EM,0,,Jose,R,Lugo,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",54655E98-B81A-4041-8FA4-9349C018521F,00:00.0
37,EM,0,,Chris,O,Okelberry,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5B16CA18-703B-48E8-AB3E-CA158C854808,00:00.0
38,EM,0,,Kim,B,Abercrombie,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9A2163B3-2F4D-4F9A-91BD-07D326140F9C,00:00.0
39,EM,0,,Ed,R,Dudenhoefer,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",83C88383-9C3E-42C5-AE09-965B5F9EF5B1,00:00.0
40,EM,0,,JoLynn,M,Dobney,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",E8E5C9DA-F808-4439-BF5C-B28236BB8467,00:00.0
41,EM,0,,Bryan,,Baker,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",A32E8274-08DC-4596-AB1F-BA6263CBC676,00:00.0
42,EM,0,,James,D,Kramer,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",F4F040E0-02A0-4905-B964-2E894D0F0B94,00:00.0
43,EM,0,,Nancy,A,Anderson,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0681C8F9-D2EC-47D9-9BD4-751B14EAED50,00:00.0
44,EM,0,,Simon,D,Rapier,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",FF8EDBFC-A9A3-4C5D-8AFF-DF4D6F18DAFF,00:00.0
45,EM,0,,Thomas,R,Michaels,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",2CAF9ADC-7A33-48CF-B4B7-3C57D9DE39C4,00:00.0
46,EM,0,,Eugene,O,Kogan,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",FB0068EA-49D4-4E82-9895-2680CF59385E,00:00.0
47,EM,0,,Andrew,R,Hill,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",B6439F4F-E57D-4293-B0C8-8919591055A3,00:00.0
48,EM,0,,Ruth,Ann,Ellerbrock,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9BE35B50-2024-4785-9393-7C7AB8D9634D,00:00.0
49,EM,0,,Barry,K,Johnson,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",CB28BE2E-DE93-4409-BACE-DF6042D04815,00:00.0
50,EM,0,,Sidney,M,Higa,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",A20BB9F5-3BBB-4AB6-9BFA-6AED32C30204,00:00.0
51,EM,0,,Jeffrey,L,Ford,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",293DF609-2FA3-4C00-A891-ACE08661FE70,00:00.0
52,EM,0,,Doris,M,Hartwig,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",075AB67F-BFBD-4433-B33E-C65B2C045B6B,00:00.0
53,EM,0,,Diane,R,Glimp,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9EA27F41-36BB-4456-A506-2B87C416FB0C,00:00.0
54,EM,0,,Bonnie,N,Kearney,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",AB066D28-404A-436E-A17A-789D7F2638D3,00:00.0
55,EM,0,,Taylor,R,Maxwell,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9F81714B-0C9C-43C3-8DF5-180CB0A42D40,00:00.0
56,EM,0,,Denise,H,Smith,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",77F4AC33-E165-49D7-BC6A-F3C2DC069C9B,00:00.0
57,EM,0,,Frank,T,Miller,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",05516FB2-586E-43F5-A87C-5E236F8DB8AD,00:00.0
58,EM,0,,Kendall,C,Keil,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",CA8D648A-166B-4D61-9AE0-A0B1FFECFB1B,00:00.0
59,EM,0,,Bob,N,Hohman,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",6384295C-C932-47C0-8E97-71D94F83CD31,00:00.0
60,EM,0,,Pete,C,Male,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0AEB5713-8BB0-4B8D-BF81-777158E5FF09,00:00.0
61,EM,0,,Diane,H,Tibbott,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",E054FFC1-258C-4DA4-B2C1-40E155F4C88B,00:00.0
62,EM,0,,John,T,Campbell,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",F5A4CC1B-AEFA-46CA-8888-2CA1C6D4034B,00:00.0
63,EM,0,,Maciej,W,Dusza,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",611D56EB-C29D-4F90-A5C6-1B3B2D44E5F8,00:00.0
64,EM,0,,Michael,J,Zwilling,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",DCC5AA7B-C09A-47A5-86A2-90D88191EBE6,00:00.0
65,EM,0,,Randy,T,Reeves,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",D988D8E0-C335-4F4C-9ED9-199FEB7FD4A7,00:00.0
66,EM,0,,Karan,R,Khanna,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",58C97993-7491-49EE-BFDD-CD80CE2C922A,00:00.0
67,EM,0,,Jay,G,Adams,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",2FE289A7-CE57-49E5-BE61-3E6580D22EA6,00:00.0
68,EM,0,,Charles,B,Fitzgerald,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",1E7CD457-A854-4D68-ACFB-3D752EEBD231,00:00.0
69,EM,0,,Steve,F,Masters,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",85F55758-54C4-4048-ACBE-BD9515669122,00:00.0
70,EM,0,,David,J,Ortiz,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",60245B9F-EABD-48CF-9FA9-C5DD48BCB3DF,00:00.0
71,EM,0,,Michael,Sean,Ray,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",CA42A0B4-C068-4C75-A8A3-DE8953760927,00:00.0
72,EM,0,,Steven,T,Selikoff,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7455FEFF-9238-4C29-819F-A4DF6508C0F8,00:00.0
73,EM,0,,Carole,M,Poland,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",4EE4FAF4-9C85-4022-B07F-956F1C5595D5,00:00.0
74,EM,0,,Bjorn,M,Rettig,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",056617D9-E65F-41C7-98AF-9C14C4569652,00:00.0
75,EM,0,,Michiko,F,Osada,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",670CE5A5-2B86-4AD7-AEF5-DF2AAAC4A6AB,00:00.0
76,EM,0,,Carol,M,Philips,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7AC771B3-347A-49FA-9298-487B02FA359D,00:00.0
77,EM,0,,Merav,A,Netz,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",F9427582-FD1B-45DE-922D-2C2C58CEA0F7,00:00.0
78,EM,0,,Reuben,H,D'sa,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",AEBEAA5B-D861-4703-A959-6D0F6F4CDF74,00:00.0
79,EM,0,,Eric,L,Brown,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",D0EFAF3A-04DC-442F-9AA1-926C38105241,00:00.0
80,EM,0,,Sandeep,P,Kaliyath,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7E5B79F9-5B7A-41DC-850F-23B4764B5161,00:00.0
81,EM,0,,Mihail,U,Frintu,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",1062CA88-998C-472C-8BD5-9F3D4BC4D2FB,00:00.0
82,EM,0,,Jack,T,Creasey,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",ED8B39AF-5DA5-405F-8C38-A6C3AC25CA1B,00:00.0
83,EM,0,,Patrick,M,Cook,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",F03E1512-0DC2-4329-8F21-6C5DBB9996F3,00:00.0
84,EM,0,,Frank,R,Martinez,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",B66AB99E-691C-4CAC-B62D-579816800BFA,00:00.0
85,EM,0,,Brian,Richard,Goldstein,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",61CE0232-4144-48AE-BA3B-1D509505F106,00:00.0
86,EM,0,,Ryan,L,Cornelsen,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0E3F7512-87A6-4C0D-9E02-30919A75BF60,00:00.0
87,EM,0,,Cristian,K,Petculescu,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",45FE0378-ED23-4D24-A5F5-11B10B402980,00:00.0
88,EM,0,,Betsy,A,Stadick,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",C214AB1E-A07E-4A62-9033-19DDE0DE1937,00:00.0
89,EM,0,,Patrick,C,Wedge,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",CD334AC3-EE11-4999-BBA1-7F33DE161124,00:00.0
90,EM,0,,Danielle,C,Tiedt,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",852A07EE-1D24-4810-8121-365DAB884C8D,00:00.0
91,EM,0,,Kimberly,B,Zimmerman,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",67647D8C-C685-4704-81B7-AE1087CC2C6D,00:00.0
92,EM,0,,Tom,M,Vande Velde,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",A36DA26B-29BA-4627-9731-134D65A53143,00:00.0
